order_id,product_id,category_id,region,quantity,price,sales,profit,order_timestamp
1001,1,3,North,4,910,3640,348.93,2024-12-31
1002,4,1,East,7,171,1197,106.53,2022-11-27
1003,9,2,South,5,1173,5865,502.73,2022-05-11
1004,4,1,South,2,393,786,202.87,2024-03-16
1005,4,1,West,1,509,509,103.28,2022-09-10
1006,5,2,West,1,524,524,106.35,2023-12-01
1007,1,1,North,7,881,6167,1027.98,2023-10-09
1008,5,2,South,7,437,3059,873.5,2022-01-14
1009,8,2,East,9,614,5526,595.28,2022-04-02
1010,1,3,South,8,84,672,186.37,2024-10-22
1011,3,1,South,6,1179,7074,1357.68,2023-12-04
1012,8,2,East,2,251,502,137.4,2022-09-27
1013,9,2,North,7,1066,7462,2166.17,2023-12-21
1014,7,2,West,5,841,4205,585.29,2024-02-03
1015,5,2,West,1,570,570,138.54,2023-10-10
1016,1,1,East,1,441,441,102.42,2022-10-16
1017,4,1,North,7,1067,7469,589.81,2022-05-15
1018,9,2,South,2,1106,2212,145.75,2023-02-11
1019,9,2,East,5,148,740,146.39,2023-12-27
1020,1,1,North,1,662,662,193.92,2023-10-05
1021,4,1,North,7,816,5712,651.27,2024-03-05
1022,8,2,North,3,913,2739,572.73,2023-07-18
1023,2,1,West,5,280,1400,213.63,2023-06-25
1024,1,3,North,3,1159,3477,939.2,2023-11-13
1025,5,2,North,5,695,3475,570.36,2022-07-09
1026,6,2,West,9,682,6138,1562.14,2023-12-11
1027,5,2,West,5,733,3665,406.93,2023-03-18
1028,1,3,North,2,1186,2372,206.42,2024-08-09
1029,6,2,North,2,691,1382,211.11,2024-05-04
1030,6,2,West,1,1126,1126,194.08,2022-09-04
1031,1,3,West,8,172,1376,152.1,2022-10-21
1032,4,1,West,4,247,988,147.91,2024-01-22
1033,6,2,North,9,1197,10773,1907.36,2023-04-09
1034,1,1,South,4,813,3252,713.46,2023-02-07
1035,1,1,North,3,913,2739,202.81,2023-05-04
1036,9,2,South,7,387,2709,702.79,2023-04-18
1037,1,3,West,3,312,936,201.24,2022-12-12
1038,5,2,West,4,930,3720,410.92,2022-09-11
1039,4,1,West,5,1064,5320,716.91,2024-03-26
1040,1,1,East,4,201,804,121.51,2023-09-20
1041,6,2,North,8,153,1224,246.77,2023-05-25
1042,1,1,South,9,963,8667,781.78,2022-12-04
1043,3,1,West,3,1006,3018,320.11,2022-06-10
1044,6,2,West,5,865,4325,1023.39,2023-02-05
1045,6,2,South,3,519,1557,181.08,2024-01-20
1046,3,1,South,6,612,3672,1002.5,2022-01-27
1047,4,1,West,1,333,333,72.34,2023-03-29
1048,1,1,West,4,596,2384,577.26,2022-01-17
1049,4,1,West,6,148,888,210.39,2024-11-26
1050,6,2,West,5,656,3280,954.17,2024-09-19
1051,4,1,South,7,177,1239,177.39,2023-07-20
1052,1,1,East,8,735,5880,436.85,2024-05-03
1053,7,2,West,2,834,1668,437.3,2022-09-03
1054,1,3,West,7,587,4109,1037.64,2024-07-09
1055,8,2,West,7,85,595,148.5,2022-11-17
1056,1,1,East,7,1165,8155,1587.91,2023-12-28
1057,3,1,South,3,624,1872,553.1,2022-05-30
1058,8,2,East,6,354,2124,126.03,2024-04-17
1059,3,1,West,5,1042,5210,1338.8,2024-09-30
1060,4,1,South,7,823,5761,362.48,2024-06-02
1061,1,1,South,7,985,6895,1596.35,2022-09-26
1062,8,2,East,3,706,2118,317.08,2024-12-17
1063,8,2,North,5,166,830,58.28,2024-10-09
1064,8,2,North,1,851,851,93.56,2023-07-14
1065,9,2,East,5,946,4730,1365.63,2023-12-05
1066,4,1,West,6,910,5460,845.75,2022-06-03
1067,1,1,East,5,1159,5795,310.6,2024-12-28
1068,6,2,South,4,502,2008,338.44,2022-08-06
1069,4,1,South,7,406,2842,425.24,2023-06-06
1070,4,1,East,4,851,3404,392.22,2024-02-01
1071,8,2,West,1,1065,1065,228.63,2023-05-31
1072,9,2,West,7,307,2149,121.69,2024-06-14
1073,2,1,East,8,739,5912,1143.04,2024-08-14
1074,4,1,West,3,1116,3348,331.28,2023-02-01
1075,7,2,South,3,803,2409,531.79,2024-04-28
1076,9,2,North,2,164,328,39.51,2024-04-05
1077,7,2,West,8,778,6224,1561.42,2024-01-31
1078,8,2,North,5,506,2530,486.09,2024-01-09
1079,1,1,West,4,1027,4108,462.17,2022-04-06
1080,1,3,South,5,328,1640,391.36,2024-05-22
1081,6,2,South,1,111,111,19.33,2023-12-30
1082,1,1,North,1,445,445,128.89,2022-03-17
1083,1,3,North,4,900,3600,623.72,2022-05-24
1084,4,1,North,3,445,1335,176.44,2024-06-09
1085,2,1,South,5,618,3090,242.15,2024-12-01
1086,1,3,East,5,782,3910,538.52,2023-10-20
1087,5,2,South,1,219,219,32.67,2024-03-05
1088,7,2,West,5,78,390,27.77,2022-12-05
1089,6,2,North,6,549,3294,359.61,2022-08-05
1090,2,1,West,4,1143,4572,1038.05,2023-03-21
1091,3,1,South,7,140,980,109.94,2022-02-08
1092,1,1,North,2,1131,2262,532.12,2023-04-01
1093,5,2,South,7,1074,7518,1655.91,2022-12-14
1094,5,2,South,1,873,873,158.97,2022-05-14
1095,4,1,North,6,252,1512,423.03,2022-02-16
1096,6,2,West,1,705,705,165.16,2024-08-28
1097,8,2,North,8,407,3256,533.7,2023-10-30
1098,9,2,West,4,139,556,81.77,2023-06-24
1099,4,1,East,9,789,7101,2105.82,2023-05-17
1100,6,2,West,9,978,8802,1344.96,2023-04-06
1101,1,1,South,6,932,5592,1294.16,2023-03-26
1102,9,2,North,2,926,1852,168.92,2024-10-12
1103,3,1,East,1,195,195,57.88,2022-06-26
1104,4,1,East,9,876,7884,2054.02,2022-04-15
1105,6,2,East,5,872,4360,1160.55,2023-12-10
1106,4,1,North,6,820,4920,929.18,2024-09-23
1107,4,1,East,3,1158,3474,565,2022-01-01
1108,2,1,West,1,930,930,222.5,2022-02-03
1109,9,2,South,7,203,1421,248.02,2023-03-14
1110,1,1,North,2,317,634,161.1,2022-08-24
1111,5,2,East,1,673,673,114.42,2024-07-07
1112,4,1,South,5,627,3135,787.7,2022-04-13
1113,7,2,East,6,147,882,184.48,2024-05-08
1114,7,2,East,4,298,1192,212.77,2024-09-10
1115,1,3,South,3,130,390,112.08,2024-06-18
1116,9,2,North,1,834,834,95.54,2024-09-10
1117,7,2,East,6,102,612,83.75,2022-05-06
1118,1,1,West,9,897,8073,710.23,2024-06-18
1119,2,1,North,8,330,2640,723.88,2023-10-29
1120,7,2,North,3,1078,3234,440.7,2023-11-13
1121,3,1,West,5,887,4435,355.51,2022-08-21
1122,8,2,North,2,1151,2302,305.07,2024-03-04
1123,5,2,East,6,288,1728,307.44,2022-04-17
1124,6,2,East,4,57,228,54.05,2023-12-20
1125,9,2,West,6,575,3450,705.74,2022-03-19
1126,7,2,South,8,932,7456,1702.48,2024-07-07
1127,7,2,West,6,788,4728,705.85,2023-04-30
1128,8,2,North,7,135,945,124.62,2024-03-22
1129,6,2,North,4,74,296,65.05,2022-03-08
1130,7,2,West,4,160,640,149.89,2023-09-15
1131,9,2,North,1,797,797,65.27,2023-03-01
1132,3,1,North,4,364,1456,431.89,2023-10-24
1133,3,1,South,6,673,4038,364.11,2024-04-22
1134,9,2,West,7,808,5656,355.81,2023-06-27
1135,4,1,West,4,969,3876,302.37,2023-04-13
1136,2,1,South,6,167,1002,114.7,2023-05-19
1137,1,1,East,9,243,2187,413.76,2024-11-15
1138,4,1,North,6,1191,7146,1627.42,2023-12-25
1139,2,1,South,1,189,189,14.88,2022-03-31
1140,3,1,East,5,188,940,266.02,2024-04-24
1141,1,1,North,1,951,951,127.58,2022-01-10
1142,1,3,East,2,62,124,27.42,2022-11-17
1143,4,1,West,9,834,7506,594.28,2024-06-29
1144,3,1,West,7,1168,8176,2308.76,2022-11-14
1145,7,2,East,5,425,2125,632.68,2023-08-11
1146,1,1,North,1,967,967,59.98,2024-05-22
1147,1,1,South,5,54,270,29.41,2022-03-19
1148,2,1,West,9,1115,10035,1486.3,2022-10-23
1149,1,3,North,8,849,6792,1125.23,2023-02-26
1150,1,3,East,1,714,714,99.13,2024-10-03
1151,7,2,South,5,153,765,157.64,2022-07-17
1152,1,1,East,7,603,4221,358.02,2024-11-04
1153,6,2,North,4,527,2108,576.48,2023-02-24
1154,3,1,North,9,1170,10530,2387.63,2024-08-08
1155,2,1,South,6,566,3396,914.17,2024-05-14
1156,3,1,North,4,265,1060,213.05,2022-01-15
1157,9,2,East,5,96,480,73.07,2022-05-10
1158,1,1,West,3,843,2529,285.65,2022-03-10
1159,8,2,East,8,599,4792,511.97,2022-01-23
1160,8,2,East,8,1007,8056,605.8,2024-09-19
1161,9,2,North,4,1057,4228,947.76,2024-06-06
1162,9,2,East,1,653,653,93.78,2024-10-10
1163,9,2,North,9,828,7452,1212.51,2024-03-24
1164,4,1,East,4,1032,4128,1156.71,2023-07-21
1165,9,2,West,5,1018,5090,1201.56,2022-07-21
1166,5,2,North,5,986,4930,387.33,2022-09-01
1167,8,2,South,6,435,2610,434.37,2023-04-20
1168,6,2,North,3,713,2139,415.84,2023-12-11
1169,9,2,South,1,226,226,55.4,2024-09-29
1170,8,2,West,2,1122,2244,212.08,2023-11-20
1171,3,1,East,6,525,3150,578.87,2023-07-15
1172,6,2,South,7,484,3388,347.19,2023-12-24
1173,6,2,East,8,1092,8736,580.31,2023-08-13
1174,7,2,South,2,551,1102,176.53,2022-04-24
1175,3,1,East,3,880,2640,199.97,2024-07-13
1176,1,3,West,3,849,2547,300.74,2022-06-11
1177,6,2,North,7,104,728,64.82,2024-10-28
1178,5,2,South,7,492,3444,607.44,2022-11-24
1179,5,2,West,5,628,3140,853.66,2024-10-03
1180,7,2,East,3,145,435,129.27,2024-03-24
1181,2,1,East,4,214,856,72.99,2024-06-28
1182,1,3,North,2,56,112,23.33,2022-05-31
1183,1,1,North,3,749,2247,507.79,2024-03-25
1184,2,1,West,2,756,1512,298.73,2023-01-31
1185,4,1,South,5,983,4915,1196.6,2024-06-23
1186,4,1,South,3,903,2709,663.54,2023-08-16
1187,9,2,North,7,177,1239,118.36,2023-06-10
1188,9,2,West,2,286,572,86.16,2023-05-09
1189,8,2,North,2,854,1708,93.25,2022-05-08
1190,8,2,North,4,90,360,42.66,2024-11-06
1191,5,2,North,6,637,3822,388.34,2022-12-08
1192,5,2,North,6,780,4680,932.97,2022-09-25
1193,5,2,North,5,504,2520,487.18,2024-07-10
1194,8,2,North,2,1069,2138,619.29,2024-03-29
1195,2,1,West,3,843,2529,169.6,2022-01-11
1196,2,1,East,1,236,236,29.33,2022-04-08
1197,9,2,West,6,455,2730,636.48,2024-01-21
1198,1,1,North,3,1007,3021,872.49,2023-04-27
1199,8,2,North,2,122,244,16.78,2024-11-06
1200,5,2,South,8,91,728,120.06,2022-05-11
1201,4,1,North,3,151,453,89.49,2022-10-02
1202,6,2,South,1,379,379,84.38,2022-01-12
1203,9,2,West,3,710,2130,510.69,2023-01-09
1204,3,1,North,8,515,4120,710.11,2023-05-04
1205,8,2,South,7,450,3150,299.7,2024-09-07
1206,8,2,East,7,384,2688,603.07,2022-05-17
1207,9,2,East,2,876,1752,501.19,2023-08-17
1208,2,1,North,7,1044,7308,948.4,2023-09-07
1209,9,2,North,3,669,2007,160.84,2022-05-11
1210,9,2,West,7,1032,7224,479.23,2023-05-12
1211,3,1,South,9,771,6939,1249.31,2023-05-08
1212,7,2,East,7,788,5516,1475.67,2023-02-18
1213,1,3,South,2,1112,2224,116.47,2022-01-29
1214,6,2,South,5,797,3985,824.4,2023-01-12
1215,5,2,North,7,389,2723,638.26,2022-01-03
1216,9,2,North,2,373,746,170.75,2022-10-20
1217,6,2,West,5,634,3170,245.25,2024-08-21
1218,8,2,East,5,110,550,63.11,2023-12-11
1219,9,2,North,8,60,480,132.45,2022-08-14
1220,1,3,East,4,821,3284,354.4,2024-06-03
1221,8,2,South,2,874,1748,183.75,2024-01-23
1222,1,1,North,8,103,824,240.84,2023-11-20
1223,1,1,North,4,468,1872,448.46,2022-03-03
1224,9,2,West,3,209,627,103.98,2024-02-20
1225,5,2,East,9,629,5661,1104.02,2024-08-09
1226,5,2,North,3,970,2910,765.47,2022-06-19
1227,9,2,South,9,1004,9036,1087.46,2024-09-01
1228,9,2,West,5,963,4815,338.31,2024-08-30
1229,4,1,South,1,1187,1187,206.28,2022-08-12
1230,1,1,East,3,1113,3339,732.92,2022-08-04
1231,9,2,East,1,620,620,165.43,2024-02-20
1232,5,2,West,5,405,2025,414.42,2023-02-26
1233,1,3,East,5,606,3030,811.92,2024-11-20
1234,8,2,North,5,131,655,166.69,2023-08-12
1235,1,3,West,2,1119,2238,294.54,2022-01-17
1236,7,2,South,8,414,3312,811.31,2023-04-12
1237,1,3,East,9,1043,9387,1271.64,2023-07-26
1238,4,1,West,6,965,5790,1285.21,2024-01-01
1239,6,2,South,6,450,2700,527.97,2023-12-06
1240,8,2,East,8,259,2072,555.06,2023-12-05
1241,2,1,North,3,997,2991,716.54,2024-10-27
1242,6,2,East,6,928,5568,958.59,2024-08-04
1243,8,2,North,7,787,5509,1648.74,2023-02-01
1244,1,3,West,7,846,5922,1323.1,2024-06-02
1245,7,2,South,4,1095,4380,362.81,2024-04-28
1246,9,2,South,5,352,1760,272.68,2022-03-25
1247,1,1,North,9,619,5571,1523.81,2024-10-05
1248,9,2,South,2,541,1082,182.1,2024-12-19
1249,5,2,East,1,569,569,138.11,2022-07-18
1250,4,1,North,8,427,3416,697.42,2023-06-11
1251,1,3,West,1,570,570,57.07,2024-10-13
1252,3,1,East,6,550,3300,386.92,2023-08-07
1253,6,2,South,8,323,2584,568.77,2022-12-04
1254,3,1,South,9,850,7650,2204.44,2024-02-18
1255,1,1,West,8,450,3600,272.51,2024-12-05
1256,3,1,West,6,141,846,190.87,2023-12-15
1257,7,2,West,1,51,51,9.36,2023-08-12
1258,8,2,South,6,1176,7056,586.91,2024-05-20
1259,8,2,West,2,192,384,38.41,2024-06-05
1260,6,2,South,8,366,2928,663.54,2022-01-09
1261,5,2,West,7,272,1904,352.86,2023-12-17
1262,9,2,East,2,1157,2314,312.07,2022-09-08
1263,1,3,South,4,257,1028,192.13,2022-01-22
1264,1,1,South,9,923,8307,1326.23,2024-09-04
1265,1,3,West,9,171,1539,203.54,2024-01-20
1266,9,2,West,7,358,2506,537.98,2022-11-03
1267,7,2,West,6,963,5778,1232.54,2023-07-03
1268,9,2,East,9,1132,10188,2165.78,2024-01-25
1269,3,1,North,1,952,952,157.7,2024-05-11
1270,8,2,West,8,453,3624,750.86,2024-01-02
1271,2,1,South,8,996,7968,1551.12,2023-02-24
1272,4,1,South,2,627,1254,250.09,2024-07-20
1273,1,3,West,3,235,705,196.05,2023-06-14
1274,4,1,West,1,916,916,223.5,2022-04-10
1275,1,3,North,2,424,848,129.96,2024-10-01
1276,3,1,East,8,280,2240,313.17,2022-05-10
1277,3,1,South,1,940,940,120.35,2022-01-28
1278,1,1,West,5,310,1550,203.51,2023-04-05
1279,2,1,South,7,336,2352,256.4,2023-09-22
1280,8,2,North,9,182,1638,183.75,2024-08-29
1281,5,2,North,6,1194,7164,1442.72,2023-11-18
1282,4,1,East,1,205,205,54.54,2023-09-12
1283,2,1,North,2,383,766,49.23,2023-05-26
1284,2,1,North,1,168,168,17.84,2023-04-30
1285,4,1,South,1,1058,1058,207.55,2024-11-01
